date,embarked
2017-01-01,113874
2017-02-01,128817
2017-03-01,186478
2017-04-01,394422
2017-05-01,466420
2017-06-01,531149
2017-07-01,572927
2017-08-01,626087
2017-09-01,567191
2017-10-01,491267
2017-11-01,163195
2017-12-01,104330
2018-01-01,109313
2018-02-01,118379
2018-03-01,186179
2018-04-01,392962
2018-05-01,470068
2018-06-01,522738
2018-07-01,551907
2018-08-01,600849
2018-09-01,551559
2018-10-01,503972
2018-11-01,188226
2018-12-01,127781
2019-01-01,136858
2019-02-01,140971
2019-03-01,211540
2019-04-01,412799
2019-05-01,489610
2019-06-01,536014
2019-07-01,563048
2019-08-01,617625
2019-09-01,555947
2019-10-01,489233
2019-11-01,192862
2019-12-01,132317
2020-01-01,124206
2020-02-01,140949
2020-03-01,122722
2020-04-01,351
2020-05-01,174
2020-06-01,11985
2020-07-01,99258
2020-08-01,201268
2020-09-01,205935
2020-10-01,132421
2020-11-01,39267
2020-12-01,29526
2021-01-01,21168
2021-02-01,4808
2021-03-01,5152
2021-04-01,16704
2021-05-01,60979
2021-06-01,166310
2021-07-01,146615
2021-08-01,300892
2021-09-01,296382
2021-10-01,367205
2021-11-01,156001
2021-12-01,78674
2022-01-01,76053
2022-02-01,106058
2022-03-01,182281
2022-04-01,379515
2022-05-01,450636
2022-06-01,493137
2022-07-01,521748
2022-08-01,550185
2022-09-01,498001
2022-10-01,490335
2022-11-01,194888
2022-12-01,134085
2023-01-01,141244
2023-02-01,154781
2023-03-01,237169
2023-04-01,447872
2023-05-01,512328
2023-06-01,547586
2023-07-01,599665
2023-08-01,638570
2023-09-01,589241
2023-10-01,565648
2023-11-01,224126
2023-12-01,149669
2024-01-01,154611
2024-02-01,166240
2024-03-01,253878
2024-04-01,436330
2024-05-01,525021
2024-06-01,578494
2024-07-01,591633
2024-08-01,645830
2024-09-01,598588
2024-10-01,561209
2024-11-01,234085
2024-12-01,157061
2025-01-01,162141
2025-02-01,169608
2025-03-01,276494
2025-04-01,485001
2025-05-01,560763
2025-06-01,612452
2025-07-01,639374
2025-08-01,683743
2025-09-01,614548
2025-10-01,575335
2025-11-01,250993
2025-12-01,164481
2026-01-01,162438
