date,al_nights
2017-01-01,19678
2017-02-01,23465
2017-03-01,39260
2017-04-01,86464
2017-05-01,116564
2017-06-01,158927
2017-07-01,196040
2017-08-01,211442
2017-09-01,177134
2017-10-01,122124
2017-11-01,38900
2017-12-01,33690
2018-01-01,32754
2018-02-01,40043
2018-03-01,61978
2018-04-01,96087
2018-05-01,128319
2018-06-01,176617
2018-07-01,234517
2018-08-01,275429
2018-09-01,192632
2018-10-01,135482
2018-11-01,38865
2018-12-01,31487
2019-01-01,35726
2019-02-01,41655
2019-03-01,64967
2019-04-01,107276
2019-05-01,135629
2019-06-01,184473
2019-07-01,239195
2019-08-01,289535
2019-09-01,205030
2019-10-01,124389
2019-11-01,41771
2019-12-01,35783
2020-01-01,22944
2020-02-01,36552
2020-03-01,23993
2020-04-01,2206
2020-05-01,6343
2020-06-01,29961
2020-07-01,74226
2020-08-01,159421
2020-09-01,98321
2020-10-01,48637
2020-11-01,16617
2020-12-01,11847
2021-01-01,9907
2021-02-01,7624
2021-03-01,9349
2021-04-01,11667
2021-05-01,34711
2021-06-01,86851
2021-07-01,127660
2021-08-01,220435
2021-09-01,138703
2021-10-01,99732
2021-11-01,45223
2021-12-01,30689
2022-01-01,24742
2022-02-01,37792
2022-03-01,54878
2022-04-01,105777
2022-05-01,132741
2022-06-01,179172
2022-07-01,241596
2022-08-01,276974
2022-09-01,186351
2022-10-01,125355
2022-11-01,52894
2022-12-01,37710
2023-01-01,36163
2023-02-01,50151
2023-03-01,74934
2023-04-01,121545
2023-05-01,142686
2023-06-01,212249
2023-07-01,277524
2023-08-01,313503
2023-09-01,227975
2023-10-01,165890
2023-11-01,64432
2023-12-01,51787
2024-01-01,49892
2024-02-01,69550
2024-03-01,108094
2024-04-01,147093
2024-05-01,192141
2024-06-01,228689
2024-07-01,287857
2024-08-01,350919
2024-09-01,252603
2024-10-01,177197
2024-11-01,75003
2024-12-01,59037
2025-01-01,56834
2025-02-01,72412
2025-03-01,100551
2025-04-01,175335
2025-05-01,195821
2025-06-01,242671
2025-07-01,306849
2025-08-01,350971
2025-09-01,249080
2025-10-01,179974
2025-11-01,79626
2025-12-01,57270
2026-01-01,50559
2026-02-01,67402
