date,gt_accommodation,gt_golf,gt_realestate,gt_restaurants,gt_employment
2021-04-04,6.5,15.0,39.0,34.20363143511416,25.94844205428847
2021-04-11,7.0,15.0,25.0,34.029671910723266,33.73329754719609
2021-04-18,7.0,11.0,28.0,40.892124647906854,37.22956472337953
2021-04-25,13.0,16.0,29.5,48.0909663588423,35.4544737310988
2021-05-02,40.5,41.5,27.5,41.97592599251442,45.31807838051279
2021-05-09,50.0,41.0,33.5,44.45711227876621,37.34844951337394
2021-05-16,36.5,39.0,50.0,55.779433657569825,41.514390643985735
2021-05-23,33.5,37.5,27.0,53.71809475817056,44.38295541115258
2021-05-30,34.0,33.5,43.0,49.244332391204985,49.41483207377896
2021-06-06,8.0,20.0,27.5,55.70393095704593,41.812094209172756
2021-06-13,9.0,23.5,31.0,51.74203890571617,50.551589809927606
2021-06-20,7.5,14.5,25.5,52.451779026429946,47.935575421246796
2021-06-27,5.0,19.0,40.0,56.35460493269629,45.6915431606722
2021-07-04,11.0,17.5,37.5,45.580761514820914,50.631661264906114
2021-07-11,10.0,14.5,19.5,46.16313402390757,50.32134219470831
2021-07-18,11.0,21.5,35.0,51.26047232702754,48.26518910541926
2021-07-25,10.5,26.5,34.5,47.946170878652644,50.47510962640354
2021-08-01,13.5,24.0,37.0,53.18982730518947,49.165192514372585
2021-08-08,16.0,23.0,35.5,45.376988068327336,50.57215552428405
2021-08-15,14.5,29.0,26.5,40.86925948546659,51.98508218353413
2021-08-22,14.5,31.5,29.5,53.01687225365265,54.3840994328191
2021-08-29,15.0,30.0,28.0,42.09451735342341,45.405915541187376
2021-09-05,17.5,43.0,31.5,40.908704744788004,54.88535552587557
2021-09-12,16.5,36.0,31.5,30.646569972225926,41.87992516911729
2021-09-19,20.5,41.0,18.5,32.14006711246717,46.42496196220142
2021-09-26,13.5,40.0,16.0,32.443086645146266,47.696283207925376
2021-10-03,17.0,36.0,17.0,23.13816761169386,45.74624773789778
2021-10-10,20.0,37.0,30.5,27.798118552037582,41.943227642093866
2021-10-17,11.0,32.0,21.0,20.00810484251508,42.04724087075909
2021-10-24,12.5,31.0,15.0,18.752076725087534,40.02192024975105
2021-10-31,8.5,55.0,26.5,14.54967727839923,38.5484339705742
2021-11-07,8.5,35.5,29.5,24.354371708902107,41.684684053665094
2021-11-14,7.5,24.0,35.0,12.783345079569592,39.04741835053844
2021-11-21,8.0,20.0,17.5,5.57594610468942,34.776375470224366
2021-11-28,5.5,15.0,20.5,13.275743113705138,38.48741355138144
2021-12-05,3.5,11.5,13.5,1.667064465222433,35.71454412399628
2021-12-12,6.5,14.0,19.5,7.754017197193675,36.32050743416051
2021-12-19,6.0,9.0,23.5,0.0,34.958812658401804
2021-12-26,10.5,23.0,36.0,0.0,29.881729521706422
2022-01-02,16.0,38.0,35.5,6.621121799881797,30.10819040884161
2022-01-09,21.0,44.5,15.0,9.693514301098116,33.58055290636979
2022-01-16,25.0,42.5,19.5,7.579323231573669,32.85644590300353
2022-01-23,24.0,51.0,28.0,7.212237044344994,30.790839808250002
2022-01-30,28.0,51.0,33.5,7.684386396576111,31.17805191939947
2022-02-06,28.5,49.0,38.5,3.5080781311591434,34.77658161388638
2022-02-13,30.0,38.0,33.5,9.299018573395884,29.429955422461205
2022-02-20,24.5,37.0,27.5,12.850618277091254,33.24710136135799
2022-02-27,19.5,38.0,22.0,22.920527460365783,31.53488813301834
2022-03-06,26.0,35.0,30.5,22.023883566442432,32.15110603012979
2022-03-13,29.0,36.5,20.5,14.312726461185234,36.880857644329375
2022-03-20,33.5,36.0,29.5,27.681035625797083,36.947807842744545
2022-03-27,29.0,38.5,23.5,27.13613712326272,37.89318727057859
2022-04-03,30.0,40.0,25.0,28.702816544951936,40.430311586434364
2022-04-10,22.0,42.0,25.0,38.15297058513975,37.70310819945523
2022-04-17,25.5,39.5,33.5,43.194644641391534,40.86112654246393
2022-04-24,31.0,39.0,32.0,45.53651220312495,39.09182260248858
2022-05-01,26.5,43.5,49.0,39.37892352808214,42.21742955388957
2022-05-08,33.5,46.0,30.5,44.53942309201289,42.0743125810181
2022-05-15,29.5,38.5,23.0,50.03166422219788,43.955631957251136
2022-05-22,29.0,41.5,40.0,55.28933647176815,46.61298470445119
2022-05-29,25.5,33.0,29.0,49.76909632884681,43.48210163881379
2022-06-05,29.0,43.0,35.5,52.68191633712996,53.253746937073316
2022-06-12,25.5,44.0,13.0,49.19492960822993,44.914123507431874
2022-06-19,29.0,41.5,25.0,49.51714587776619,45.147388798146565
2022-06-26,28.5,41.0,30.5,59.976596351552274,53.012092524005034
2022-07-03,28.5,27.5,21.0,62.74936161485543,52.540012274453645
2022-07-10,22.5,39.0,18.0,55.30014739406765,52.53528784666737
2022-07-17,26.0,38.0,20.0,60.012429837514176,52.9095659837316
2022-07-24,28.5,32.0,30.0,55.78991637059275,51.20812074273594
2022-07-31,28.0,41.5,27.0,49.41042569258998,48.62924255254965
2022-08-07,35.5,32.0,24.0,52.78434655697337,51.4795504830981
2022-08-14,29.0,39.5,33.0,56.72022827959288,49.00804595240929
2022-08-21,26.5,36.0,33.5,46.64338844520817,53.611908855460634
2022-08-28,24.5,37.0,19.0,52.21024342947852,49.75741732817913
2022-09-04,21.0,38.5,13.0,28.660382595648365,47.10651344515442
2022-09-11,17.5,37.0,15.5,43.08661383262812,47.88484419272238
2022-09-18,22.5,36.5,0.0,36.51680854388467,49.24629663223573
2022-09-25,18.0,32.5,19.5,31.61970185685973,45.37981475113045
2022-10-02,18.0,42.5,13.0,30.578650356414826,43.586658621948516
2022-10-09,17.0,36.0,17.5,17.202708072881286,45.70059472286889
2022-10-16,15.0,32.5,26.0,23.12192732067878,44.570523465440715
2022-10-23,15.0,58.5,18.5,23.187185251491904,41.1474846830346
2022-10-30,12.5,46.5,28.0,26.115129868406104,40.07169634031179
2022-11-06,14.5,26.0,15.0,13.640077979349693,40.99870635172335
2022-11-13,12.5,22.0,23.5,9.912857635198712,34.79472057299753
2022-11-20,12.5,22.5,16.0,9.421795740238467,33.78882385999412
2022-11-27,11.0,19.5,25.5,14.763791817519037,34.780581838048114
2022-12-04,10.5,21.0,0.0,10.393193823514652,35.28860253248788
2022-12-11,12.0,16.5,0.0,4.990818484691934,35.93790780944795
2022-12-18,12.0,12.5,14.0,9.43997954875903,38.60438121844045
2022-12-25,18.5,27.0,16.5,6.9482255477135375,36.03357481340145
2023-01-01,32.0,45.5,23.5,11.25661068699803,32.382906202971874
2023-01-08,31.5,48.5,27.0,3.215960156587335,32.336590020617315
2023-01-15,29.0,44.0,21.5,5.75873202652548,29.052839135198255
2023-01-22,24.0,44.5,22.5,6.455790068243269,31.812658382873593
2023-01-29,25.5,38.0,14.0,2.4519550884174954,30.95404005752519
2023-02-05,24.5,44.5,21.5,12.917838548772057,32.885014046605065
2023-02-12,25.5,41.5,33.5,14.700765441815813,29.67590549872068
2023-02-19,29.5,35.5,28.0,15.64167546977013,34.09706189050959
2023-02-26,27.5,37.5,16.0,16.89417642397712,37.65409336371203
2023-03-05,22.0,45.5,22.5,13.636323525795579,33.37466283386582
2023-03-12,22.0,31.0,17.5,21.41292456417061,35.67028018971442
2023-03-19,25.0,34.5,15.5,24.72203331145527,37.408108781216306
2023-03-26,27.5,42.0,23.5,25.41803774675843,35.10250109805967
2023-04-02,31.5,40.0,26.5,31.64798146403936,38.0291119011537
2023-04-09,35.5,43.0,30.0,37.487170202978575,38.512510233455224
2023-04-16,36.5,43.5,21.0,47.85440451720223,39.93695197658316
2023-04-23,29.5,49.0,30.0,42.154320963544386,38.52869862855885
2023-04-30,29.5,45.5,25.5,45.287313121406356,42.14249604001821
2023-05-07,28.0,50.5,31.5,46.16643567947944,44.78419792809386
2023-05-14,24.5,44.5,18.0,39.26828685888574,48.84743817693121
2023-05-21,28.5,42.0,20.0,50.80395072013971,48.54101048162853
2023-05-28,33.5,38.0,20.0,53.03308628635253,53.24064395129497
2023-06-04,28.5,46.0,22.5,66.53878307001604,45.529725832101434
2023-06-11,26.5,44.0,26.0,54.42523129855456,51.41721613856183
2023-06-18,24.5,45.5,14.0,57.71639735658918,50.222812028280224
2023-06-25,33.0,36.0,22.0,56.502193832931034,57.00639655489938
2023-07-02,32.5,39.0,17.5,50.93837027736214,48.65715955371301
2023-07-09,35.5,41.5,14.0,62.239482947157555,49.07974316015435
2023-07-16,32.5,40.5,16.5,59.67018366680963,50.182154768773046
2023-07-23,30.0,40.5,22.0,58.90150824981268,45.849385495962544
2023-07-30,28.5,40.0,24.5,49.100126824027555,50.74064999515487
2023-08-06,28.5,39.5,27.0,59.0457020134704,49.992335258970904
2023-08-13,30.5,37.0,40.5,43.11474100946515,52.5286851647997
2023-08-20,24.0,30.0,17.0,50.886036441677895,52.76956031748885
2023-08-27,26.0,37.5,26.0,56.4989979048267,56.90372175926826
2023-09-03,25.0,42.0,18.0,37.991322465867555,53.52860660524552
2023-09-10,25.0,41.5,0.0,37.350083560856106,48.228907499903755
2023-09-17,22.5,41.5,25.5,37.7979655351879,46.43750190778375
2023-09-24,20.5,40.5,15.0,31.82305196910185,49.68474456137885
2023-10-01,22.0,44.0,15.5,23.593559003741984,43.24131691161541
2023-10-08,16.0,37.0,12.5,28.70549778628232,51.621092148922045
2023-10-15,17.5,34.0,22.5,20.11983261891642,48.537277799157124
2023-10-22,17.5,32.0,30.0,24.963577199322003,42.427847538518215
2023-10-29,17.5,30.0,17.0,15.299700997857023,37.513716190043375
2023-11-05,12.5,29.5,27.0,25.12400623501724,45.53123394783101
2023-11-12,13.5,24.5,22.0,11.148689489132877,39.95868774661035
2023-11-19,14.0,30.5,13.5,11.3920939574456,42.88184688200999
2023-11-26,10.5,24.0,18.0,15.28439163011807,33.301328249451856
2023-12-03,9.0,24.5,14.5,3.5799643486912176,35.268817556079064
2023-12-10,10.5,19.0,22.0,9.713864957991932,36.14615986422845
2023-12-17,11.5,23.0,19.0,14.296369545832823,35.429871098095624
2023-12-24,22.5,32.5,15.5,0.0,33.20472958451307
2023-12-31,25.0,43.5,24.0,8.120527624390304,35.807891358839704
2024-01-07,29.0,44.0,26.0,8.75799814578243,30.2485200911276
2024-01-14,26.5,47.5,17.0,11.987838139737402,32.671261492473256
2024-01-21,26.0,45.5,20.0,2.8642522488499793,33.24668112110154
2024-01-28,29.0,40.5,21.5,3.7532978691909378,34.36024186965186
2024-02-04,23.5,42.0,13.0,14.589430586616936,35.027914607472745
2024-02-11,25.0,41.0,33.5,15.38302269628085,29.739475303030392
2024-02-18,25.0,41.5,22.5,17.335575800567494,28.872660126764984
2024-02-25,29.0,36.0,38.0,20.235534463505118,37.805937307613455
2024-03-03,23.0,36.5,13.5,17.72364476430609,35.597113166916714
2024-03-10,21.0,28.5,15.0,25.068023582159082,33.10251678830333
2024-03-17,29.5,38.5,20.0,28.277477798094246,40.85921130911934
2024-03-24,24.5,34.0,22.5,26.226179400885353,37.508369827344396
2024-03-31,27.5,40.0,33.5,42.1500110573208,41.73905889816004
2024-04-07,25.5,36.5,18.5,38.20726417558979,39.51297285057264
2024-04-14,25.5,35.5,24.5,32.848770830588755,46.65553074685574
2024-04-21,24.0,39.5,15.5,44.96266322463138,46.939211817691216
2024-04-28,25.0,39.0,16.0,39.547044931451595,42.14610809262129
2024-05-05,24.0,36.5,16.5,50.922862805248855,47.030021015076876
2024-05-12,22.5,35.5,15.0,55.13682698655032,47.258791254659165
2024-05-19,30.0,32.5,19.0,47.35231791139325,50.60372903252286
