date,hotel_nights
2017-01-01,474699
2017-02-01,678677
2017-03-01,971361
2017-04-01,1665777
2017-05-01,1839384
2017-06-01,2238869
2017-07-01,2745191
2017-08-01,3050849
2017-09-01,2272322
2017-10-01,1775593
2017-11-01,638184
2017-12-01,476296
2018-01-01,469810
2018-02-01,688610
2018-03-01,1083603
2018-04-01,1467338
2018-05-01,1859987
2018-06-01,2185800
2018-07-01,2719480
2018-08-01,3062289
2018-09-01,2283464
2018-10-01,1805530
2018-11-01,689511
2018-12-01,520297
2019-01-01,511262
2019-02-01,695407
2019-03-01,1007885
2019-04-01,1673868
2019-05-01,1839335
2019-06-01,2218804
2019-07-01,2720543
2019-08-01,3108696
2019-09-01,2341927
2019-10-01,1790925
2019-11-01,739927
2019-12-01,563236
2020-01-01,535292
2020-02-01,802536
2020-03-01,485193
2020-04-01,22972
2020-05-01,33336
2020-06-01,291513
2020-07-01,941423
2020-08-01,1898104
2020-09-01,1300709
2020-10-01,635640
2020-11-01,162118
2020-12-01,139214
2021-01-01,93706
2021-02-01,57185
2021-03-01,72783
2021-04-01,122322
2021-05-01,455087
2021-06-01,1075154
2021-07-01,1397213
2021-08-01,2498210
2021-09-01,1700092
2021-10-01,1461250
2021-11-01,596033
2021-12-01,339637
2022-01-01,316522
2022-02-01,542820
2022-03-01,800036
2022-04-01,1494048
2022-05-01,1705621
2022-06-01,2020516
2022-07-01,2574409
2022-08-01,2893071
2022-09-01,2124245
2022-10-01,1755131
2022-11-01,689051
2022-12-01,505678
2023-01-01,506315
2023-02-01,724594
2023-03-01,1003605
2023-04-01,1687413
2023-05-01,1794484
2023-06-01,1992949
2023-07-01,2480744
2023-08-01,2808534
2023-09-01,2134520
2023-10-01,1873698
2023-11-01,744531
2023-12-01,553997
2024-01-01,508880
2024-02-01,736352
2024-03-01,1118613
2024-04-01,1494989
2024-05-01,1848647
2024-06-01,2059574
2024-07-01,2501244
2024-08-01,2806238
2024-09-01,2134838
2024-10-01,1876058
2024-11-01,760191
2024-12-01,561366
2025-01-01,507133
2025-02-01,690549
2025-03-01,1021607
2025-04-01,1637493
2025-05-01,1790570
2025-06-01,2102092
2025-07-01,2551964
2025-08-01,2822711
2025-09-01,2076218
2025-10-01,1851146
2025-11-01,777313
2025-12-01,592272
2026-01-01,501635
2026-02-01,699635
