,nights,hotel_nights,al_nights,rural_nights,building_permits,revenue,guests,al_share,hotel_share,revpar,gt_accommodation,gt_golf,gt_realestate,gt_restaurants,gt_employment
2017-Q1,2215582,2124737,82403,8442,679.0,,,0.037192484864022185,0.958997229621833,,,,,,
2017-Q2,6152342,5744030,361955,46357,731.0,,,0.058832067528105554,0.933633078265155,,,,,,
2017-Q3,8734345,8068362,584616,81367,564.0,,,0.06693300985935408,0.9237512372135518,,,,,,
2017-Q4,3104882,2890073,194714,20095,749.0,,,0.06271220613214931,0.930815728262781,,,,,,
2018-Q1,2386453,2242023,134775,9655,903.0,,,0.05647502800180854,0.9394792187401134,,,,,,
2018-Q2,5960228,5513125,401023,46080,1205.0,,,0.06728316433532408,0.9249855877996613,,,,,,
2018-Q3,8852929,8065233,702578,85118,1145.0,,,0.07936107925410901,0.9110242497144165,,,,,,
2018-Q4,3243637,3015338,205834,22465,1297.0,,,0.06345777903014425,0.9296163534945495,,,,,,
2019-Q1,2367585,2214554,142348,10683,1258.0,,,0.060123712559422365,0.9353640946365178,,,,,,
2019-Q2,6211857,5732007,427378,52472,1019.0,,,0.06880036034313089,0.922752568193376,,,,,,
2019-Q3,9001466,8171166,733760,96540,1303.0,,,0.08151561090160203,0.907759469401984,,,,,,
2019-Q4,3319587,3094088,201943,23556,1415.0,,,0.06083377239397551,0.9320701641499379,,,,,,
2020-Q1,1917975,1823021,83489,11465,1090.0,,,0.04352976446512598,0.950492576806267,,,,,,
2020-Q2,396939,347821,38510,10608,731.0,,,0.09701742585132728,0.8762580648411973,,,,,,
2020-Q3,4544486,4140236,331968,72282,1042.0,,,0.0730485251797453,0.9110460456914159,,,,,,
2020-Q4,1031311,936972,77101,17238,,,,0.07476018388245641,0.9085251684506419,,,,,,
2021-Q1,255943,223674,26880,5389,1419.0,,,0.10502338411286888,0.8739211465052765,,,,,,
2021-Q2,1822727,1652563,133229,36935,1999.0,,,0.07309322789424856,0.9066431780513483,,18.216666666666665,24.0,32.525,47.467388953087976,41.06162878960212
2021-Q3,6183520,5595515,486798,101207,1021.0,,,0.07872506274743188,0.9049077224622869,,14.108333333333334,29.166666666666668,29.099999999999998,42.8939115659903,49.31581535112622
2021-Q4,2611846,2396920,175644,39282,1098.0,,,0.06724898788060245,0.9177110748489765,,9.266666666666667,25.400000000000002,23.583333333333332,12.400616973089084,38.126428461744595
2022-Q1,1797073,1659378,117412,20283,830.0,86801.0,468034.0,0.06533513107147011,0.9233781821884809,48.30132109268794,25.933333333333334,40.800000000000004,27.558333333333334,14.230374286456609,33.30606250626648
2022-Q2,5718440,5220185,417690,80565,1560.0,391157.0,1499149.0,0.0730426479949077,0.9128687194409664,68.40274620351005,27.974999999999998,41.0,29.724999999999998,46.513690588634404,44.09064075381983
2022-Q3,8439162,7591725,704921,142516,1699.0,751897.0,1963140.0,0.08352973909020825,0.8995828021786997,89.09616855322838,25.108333333333334,35.949999999999996,20.858333333333334,47.90429485566415,49.977681263375054
2022-Q4,3208115,2949860,215959,42296,1793.0,191649.0,835878.0,0.0673164771213002,0.9194994568461542,59.7388185897326,13.791666666666666,28.316666666666666,16.075,14.639601772740283,38.52407210528537
2023-Q1,2421786,2234514,161248,26024,1448.0,124555.0,644524.0,0.06658226614572882,0.9226719454154909,51.43105129850449,26.425,40.699999999999996,22.066666666666666,14.054584454494359,33.42490456181272
2023-Q2,6043168,5474846,476480,91842,1401.0,437731.0,1582971.0,0.0788460621978406,0.9059562798849875,72.43402798002636,29.75,43.60833333333333,23.366666666666664,48.99994310985708,46.4424380096339
2023-Q3,8389566,7423798,819002,146766,1185.0,798717.0,1979315.0,0.09762149794160985,0.8848846293121718,95.2036136315037,27.433333333333334,39.225,20.383333333333333,48.265636539382434,50.47344478782048
2023-Q4,3506192,3172226,282109,51857,1374.0,222327.0,918527.0,0.08046022579482241,0.9047496543258327,63.40981897169351,15.475,30.34166666666667,19.541666666666668,15.138624714844548,40.0860060721594
2024-Q1,2627264,2363845,227536,35883,1248.0,146825.0,695903.0,0.08660568561058196,0.8997363797471438,55.885133736084384,26.116666666666664,40.0,22.925,17.2052682693953,34.418142325925906
2024-Q2,6067249,5403210,567923,96116,1235.0,469435.0,1596972.0,0.0936046962964599,0.8905535276366604,77.37196874563745,26.391666666666666,38.71666666666667,19.25,50.15469522371469,46.57463969185121
2024-Q3,8482451,7442320,891379,148752,1358.0,847011.0,2009580.0,0.10508507505672594,0.8773784841197432,99.85451139063461,26.741666666666664,39.65833333333333,22.974999999999998,49.06829875741746,51.51888516229616
2024-Q4,3561973,3197615,311237,53121,1339.0,234882.0,947495.0,0.0873776976973155,0.8977089382766237,65.94154419474825,14.108333333333334,30.125,12.591666666666667,16.042752751295737,40.21202372764313
2025-Q1,2484178,2219289,229797,35092,1055.0,140615.0,684085.0,0.09250424083942455,0.8933695572539488,56.60423689445764,24.366666666666664,39.025,23.825,17.409691540433908,35.00608937314056
2025-Q2,6241775,5530155,613827,97793,1619.0,509454.0,1648213.0,0.09834173772684854,0.8859907638452204,81.62005198841675,26.75,44.05833333333334,18.883333333333333,52.04432853289898,46.96021350353891
2025-Q3,8503833,7450893,906900,146040,1380.0,899955.0,2040777.0,0.10664602656237487,0.8761805411747855,105.82933601824024,25.775000000000002,41.75833333333333,22.766666666666666,48.724847098522964,52.78514636729769
2025-Q4,3590721,3220731,316870,53120,1390.0,258858.0,971611.0,0.08824690083133721,0.8969594128867155,72.09081407327386,17.491666666666667,33.68333333333333,14.875,15.932278569349622,41.00998655042105
