date,rural_nights
2017-01-01,1252
2017-02-01,2390
2017-03-01,4800
2017-04-01,12929
2017-05-01,14124
2017-06-01,19304
2017-07-01,27410
2017-08-01,33115
2017-09-01,20842
2017-10-01,14244
2017-11-01,3289
2017-12-01,2562
2018-01-01,1344
2018-02-01,2437
2018-03-01,5874
2018-04-01,11653
2018-05-01,15690
2018-06-01,18737
2018-07-01,27646
2018-08-01,34200
2018-09-01,23272
2018-10-01,15681
2018-11-01,3765
2018-12-01,3019
2019-01-01,1698
2019-02-01,2919
2019-03-01,6066
2019-04-01,14350
2019-05-01,15565
2019-06-01,22557
2019-07-01,28930
2019-08-01,41040
2019-09-01,26570
2019-10-01,15538
2019-11-01,4177
2019-12-01,3841
2020-01-01,2132
2020-02-01,5159
2020-03-01,4174
2020-04-01,436
2020-05-01,1253
2020-06-01,8919
2020-07-01,20083
2020-08-01,33044
2020-09-01,19155
2020-10-01,11810
2020-11-01,3138
2020-12-01,2290
2021-01-01,1723
2021-02-01,1385
2021-03-01,2281
2021-04-01,4672
2021-05-01,12259
2021-06-01,20004
2021-07-01,26916
2021-08-01,43892
2021-09-01,30399
2021-10-01,23782
2021-11-01,9795
2021-12-01,5705
2022-01-01,2636
2022-02-01,6160
2022-03-01,11487
2022-04-01,22251
2022-05-01,24597
2022-06-01,33717
2022-07-01,45159
2022-08-01,58843
2022-09-01,38514
2022-10-01,26635
2022-11-01,8560
2022-12-01,7101
2023-01-01,4326
2023-02-01,7631
2023-03-01,14067
2023-04-01,26017
2023-05-01,31031
2023-06-01,34794
2023-07-01,47275
2023-08-01,59825
2023-09-01,39666
2023-10-01,31729
2023-11-01,11555
2023-12-01,8573
2024-01-01,5194
2024-02-01,11606
2024-03-01,19083
2024-04-01,26666
2024-05-01,32866
2024-06-01,36584
2024-07-01,46028
2024-08-01,60106
2024-09-01,42618
2024-10-01,32673
2024-11-01,12164
2024-12-01,8284
2025-01-01,6535
2025-02-01,11793
2025-03-01,16764
2025-04-01,28531
2025-05-01,32573
2025-06-01,36689
2025-07-01,46744
2025-08-01,58160
2025-09-01,41136
2025-10-01,32045
2025-11-01,12791
2025-12-01,8284
2026-01-01,5703
2026-02-01,11447
