year,gva_total,share_304,gva_304,share_309,gva_309,share_307,gva_307,share_203,gva_203,share_308,gva_308,gva_rest,rest_share
1995,2915.236,34.9,1017.4,17.8,518.9,11.7,341.1,6.7,195.3,5.4,157.4,685.1,23.5
1996,3051.519,34.5,1052.8,18.4,561.5,11.7,357.0,6.9,210.6,5.4,164.8,704.8,23.1
1997,3343.412,34.6,1156.8,18.5,618.5,11.2,374.5,7.3,244.1,5.4,180.5,769.0,23.0
1998,3642.965,34.8,1267.8,18.5,673.9,11.3,411.7,7.5,273.2,5.4,196.7,819.7,22.5
1999,3981.241,33.8,1345.7,18.4,732.5,11.5,457.8,7.9,314.5,5.6,222.9,907.8,22.8
2000,4403.434,34.0,1497.2,19.4,854.3,11.4,502.0,8.8,387.5,5.6,246.6,915.8,20.8
2001,4799.775,34.4,1651.1,19.6,940.8,10.8,518.4,9.1,436.8,5.3,254.4,998.3,20.8
2002,5124.438,34.4,1762.8,19.5,999.3,11.3,579.1,9.2,471.4,5.5,281.8,1030.0,20.1
2003,5400.381,33.2,1792.9,19.4,1047.7,11.8,637.2,10.3,556.2,5.5,297.0,1069.4,19.8
2004,5598.074,33.0,1847.4,19.7,1102.8,11.9,666.2,10.5,587.8,5.4,302.3,1091.6,19.5
2005,5891.765,33.1,1950.2,20.1,1184.2,12.6,742.4,10.3,606.9,5.6,329.9,1078.2,18.3
2006,6232.511,33.2,2069.2,19.6,1221.6,12.7,791.5,10.2,635.7,5.8,361.5,1153.0,18.5
2007,6684.358,33.3,2225.9,18.8,1256.7,13.3,889.0,10.3,688.5,6.0,401.1,1223.2,18.3
2008,6904.263,32.1,2216.3,18.8,1298.0,13.4,925.2,10.5,724.9,6.5,448.8,1291.1,18.7
2009,6647.622,32.8,2180.4,19.9,1322.9,14.4,957.3,8.7,578.3,5.9,392.2,1216.5,18.3
2010,6645.406,34.0,2259.4,19.7,1309.1,15.9,1056.6,7.4,491.8,5.7,378.8,1149.7,17.3
2011,6443.275,35.4,2280.9,19.1,1230.7,16.1,1037.4,6.4,412.4,5.6,360.8,1121.1,17.4
2012,6257.15,36.6,2290.1,18.2,1138.8,17.4,1088.7,5.1,319.1,5.3,331.6,1088.8,17.4
2013,6350.904,36.8,2337.1,18.5,1174.9,18.3,1162.2,4.4,279.4,5.3,336.6,1060.7,16.7
2014,6534.9,37.8,2470.2,17.8,1163.2,18.0,1176.3,4.2,274.5,5.8,379.0,1071.7,16.4
2015,6821.0,38.3,2612.4,17.2,1173.2,17.6,1200.5,4.2,286.5,5.8,395.6,1152.8,16.9
2016,7350.972,39.5,2903.6,16.5,1212.9,17.2,1264.4,4.2,308.7,6.1,448.4,1213.0,16.5
2017,7919.313,40.2,3183.6,16.0,1267.1,17.0,1346.3,4.6,364.3,6.5,514.8,1243.2,15.7
2018,8327.907,39.9,3322.8,16.0,1332.5,16.8,1399.1,5.0,416.4,6.7,558.0,1299.1,15.6
2019,8772.241,39.9,3500.1,16.0,1403.6,16.7,1465.0,5.1,447.4,6.9,605.3,1350.8,15.4
2020,7351.58,31.5,2315.7,18.9,1389.4,20.1,1477.7,6.3,463.1,6.3,463.1,1242.6,16.9
2021,8149.484,33.3,2713.8,18.5,1507.7,18.7,1524.0,6.0,489.0,7.1,578.6,1336.4,16.4
2022,10362.763,39.7,4114.0,15.3,1585.5,15.6,1616.6,6.0,621.8,8.2,849.7,1575.2,15.2
2023,11511.655,40.4,4650.7,14.9,1715.2,13.7,1577.1,6.1,702.2,8.1,932.4,1934.1,16.8
2024,12446.025,,,,,,,,,,,,
