year,304,309,307,203,308,REST,TOT
1995,1017.4,518.9,341.1,195.3,157.4,685.1,2915.2
1996,1052.8,561.5,357.0,210.6,164.8,704.9,3051.5
1997,1156.8,618.5,374.5,244.1,180.5,769.0,3343.4
1998,1267.8,673.9,411.7,273.2,196.7,819.7,3643.0
1999,1345.7,732.5,457.8,314.5,222.9,907.7,3981.2
2000,1497.2,854.3,502.0,387.5,246.6,915.9,4403.4
2001,1651.1,940.8,518.4,436.8,254.4,998.4,4799.8
2002,1762.8,999.3,579.1,471.4,281.8,1030.0,5124.4
2003,1792.9,1047.7,637.2,556.2,297.0,1069.3,5400.4
2004,1847.4,1102.8,666.2,587.8,302.3,1091.6,5598.1
2005,1950.2,1184.2,742.4,606.9,329.9,1078.2,5891.8
2006,2069.2,1221.6,791.5,635.7,361.5,1153.0,6232.5
2007,2225.9,1256.7,889.0,688.5,401.1,1223.2,6684.4
2008,2216.3,1298.0,925.2,724.9,448.8,1291.1,6904.3
2009,2180.4,1322.9,957.3,578.3,392.2,1216.5,6647.6
2010,2259.4,1309.1,1056.6,491.8,378.8,1149.7,6645.4
2011,2280.9,1230.7,1037.4,412.4,360.8,1121.1,6443.3
2012,2290.1,1138.8,1088.7,319.1,331.6,1088.7,6257.1
2013,2337.1,1174.9,1162.2,279.4,336.6,1060.6,6350.9
2014,2470.2,1163.2,1176.3,274.5,379.0,1071.7,6534.9
2015,2612.4,1173.2,1200.5,286.5,395.6,1152.7,6821.0
2016,2903.6,1212.9,1264.4,308.7,448.4,1212.9,7351.0
2017,3183.6,1267.1,1346.3,364.3,514.8,1243.3,7919.3
2018,3322.8,1332.5,1399.1,416.4,558.0,1299.2,8327.9
2019,3500.1,1403.6,1465.0,447.4,605.3,1350.9,8772.2
2020,2315.7,1389.4,1477.7,463.1,463.1,1242.4,7351.6
2021,2713.8,1507.7,1524.0,489.0,578.6,1336.5,8149.5
2022,4114.0,1585.5,1616.6,621.8,849.7,1575.1,10362.8
2023,4650.7,1715.2,1577.1,702.2,932.4,1934.0,11511.7
2024,5028.2,1854.5,1705.1,759.2,1008.1,2090.9,12446.0
