quarter,304,309,307,203,308,REST,TOTAL
2004-Q1,234.1,271.3,162.4,142.8,38.3,274.6,1123.5
2004-Q2,562.7,273.0,164.0,148.3,92.1,273.9,1514.0
2004-Q3,729.9,276.6,167.4,148.1,119.4,272.6,1714.0
2004-Q4,320.7,281.9,172.4,148.6,52.5,270.5,1246.7
2005-Q1,249.5,289.0,179.1,149.1,42.2,267.8,1176.7
2005-Q2,584.9,294.7,184.4,151.2,98.9,267.4,1581.5
2005-Q3,760.6,298.9,188.2,152.8,128.7,269.4,1798.6
2005-Q4,355.2,301.6,190.7,153.8,60.1,273.7,1335.1
2006-Q1,252.5,302.9,191.8,155.4,44.1,280.4,1227.1
2006-Q2,637.4,304.4,194.6,159.8,111.4,286.2,1693.8
2006-Q3,811.6,306.2,199.3,160.1,141.8,291.2,1910.2
2006-Q4,367.7,308.2,205.8,160.4,64.2,295.3,1401.5
2007-Q1,289.5,310.4,214.1,167.9,52.2,298.5,1332.6
2007-Q2,679.0,312.8,220.7,172.9,122.3,302.7,1810.5
2007-Q3,879.1,315.4,225.5,173.5,158.4,307.9,2059.8
2007-Q4,378.3,318.1,228.7,174.2,68.2,314.1,1481.5
2008-Q1,280.6,320.9,230.1,175.3,56.8,321.2,1385.0
2008-Q2,685.4,323.5,231.1,182.9,138.8,324.7,1886.4
2008-Q3,875.6,325.8,231.8,186.0,177.3,324.5,2121.0
2008-Q4,374.7,327.8,232.2,180.6,75.9,320.7,1511.9
2009-Q1,245.7,329.5,216.6,143.8,44.2,313.2,1293.1
2009-Q2,671.0,330.7,252.7,144.1,120.7,306.6,1825.8
2009-Q3,883.1,331.3,239.9,145.0,158.8,300.8,2059.0
2009-Q4,380.6,331.4,248.0,145.4,68.5,295.9,1469.7
2010-Q1,239.3,330.9,272.4,121.3,40.1,291.7,1295.8
2010-Q2,653.9,329.2,250.7,123.1,109.6,288.4,1754.9
2010-Q3,967.3,326.5,249.9,123.4,162.2,285.7,2115.0
2010-Q4,398.9,322.5,283.7,123.9,66.9,283.8,1479.7
2011-Q1,244.6,317.4,298.3,102.8,38.7,282.7,1284.5
2011-Q2,718.6,311.5,244.1,103.0,113.7,281.3,1772.1
2011-Q3,944.7,304.7,232.2,103.2,149.4,279.6,2013.8
2011-Q4,373.0,297.0,262.9,103.3,59.0,277.6,1372.9
